epoch,utc,lat,lng,alt_m,speed2d_ms,speed3d_ms,fix,dop,payload
1784771946405,2026-07-23T01:59:06.405Z,-23.6056496,-46.8371058,820.198,17.419,17.460,3,136,8
1784771946466,2026-07-23T01:59:06.466Z,-23.6056412,-46.8371091,820.204,17.587,17.430,3,136,8
1784771946528,2026-07-23T01:59:06.528Z,-23.6056249,-46.8371160,820.172,17.662,17.590,3,136,8
1784771946590,2026-07-23T01:59:06.590Z,-23.6056165,-46.8371192,820.162,17.728,17.670,3,136,8
1784771946652,2026-07-23T01:59:06.652Z,-23.6056080,-46.8371225,820.188,17.880,17.730,3,136,8
1784771946714,2026-07-23T01:59:06.714Z,-23.6055995,-46.8371257,820.223,17.910,17.880,3,136,8
1784771946776,2026-07-23T01:59:06.776Z,-23.6055907,-46.8371285,820.298,18.041,17.910,3,136,8
1784771946838,2026-07-23T01:59:06.838Z,-23.6055821,-46.8371314,820.357,18.077,18.040,3,136,8
1784771946900,2026-07-23T01:59:06.900Z,-23.6055733,-46.8371345,820.406,18.166,18.080,3,136,8
1784771946961,2026-07-23T01:59:06.961Z,-23.6055646,-46.8371378,820.459,18.343,18.170,3,136,8
1784771947023,2026-07-23T01:59:07.023Z,-23.6055559,-46.8371409,820.566,18.246,18.340,3,136,8
1784771947085,2026-07-23T01:59:07.085Z,-23.6055475,-46.8371440,820.705,18.031,18.250,3,136,8
1784771947147,2026-07-23T01:59:07.147Z,-23.6055390,-46.8371468,820.757,17.945,18.030,3,136,8
1784771947209,2026-07-23T01:59:07.209Z,-23.6055305,-46.8371496,820.737,17.939,17.950,3,136,8
1784771947271,2026-07-23T01:59:07.271Z,-23.6055221,-46.8371523,820.725,17.810,17.940,3,136,8
1784771947333,2026-07-23T01:59:07.333Z,-23.6055137,-46.8371548,820.738,17.810,17.810,3,136,8
1784771947395,2026-07-23T01:59:07.395Z,-23.6055055,-46.8371576,820.725,17.627,17.810,3,136,9
1784771947447,2026-07-23T01:59:07.447Z,-23.6054972,-46.8371604,820.727,17.572,17.630,3,136,9
1784771947499,2026-07-23T01:59:07.499Z,-23.6054885,-46.8371637,820.807,17.810,17.570,3,136,9
1784771947551,2026-07-23T01:59:07.551Z,-23.6054800,-46.8371666,820.911,17.802,17.810,3,136,9
1784771947603,2026-07-23T01:59:07.603Z,-23.6054713,-46.8371698,820.983,17.981,17.800,3,136,9
1784771947655,2026-07-23T01:59:07.655Z,-23.6054623,-46.8371730,821.022,18.276,17.980,3,136,9
1784771947707,2026-07-23T01:59:07.707Z,-23.6054533,-46.8371762,821.047,18.575,18.280,3,136,9
1784771947759,2026-07-23T01:59:07.759Z,-23.6054443,-46.8371797,821.122,18.768,18.580,3,136,9
1784771947811,2026-07-23T01:59:07.811Z,-23.6054356,-46.8371829,821.168,18.670,18.770,3,136,9
1784771947863,2026-07-23T01:59:07.863Z,-23.6054269,-46.8371858,821.190,18.530,18.670,3,136,9
1784771947916,2026-07-23T01:59:07.916Z,-23.6054182,-46.8371884,821.192,18.436,18.530,3,136,9
1784771947968,2026-07-23T01:59:07.968Z,-23.6054095,-46.8371909,821.191,18.391,18.440,3,136,9
1784771948020,2026-07-23T01:59:08.020Z,-23.6054008,-46.8371933,821.214,18.325,18.390,3,136,9
1784771948072,2026-07-23T01:59:08.072Z,-23.6053921,-46.8371960,821.301,18.223,18.330,3,136,9
1784771948124,2026-07-23T01:59:08.124Z,-23.6053834,-46.8371986,821.367,18.209,18.220,3,136,9
1784771948176,2026-07-23T01:59:08.176Z,-23.6053744,-46.8372009,821.403,18.318,18.210,3,136,9
1784771948228,2026-07-23T01:59:08.228Z,-23.6053654,-46.8372034,821.455,18.435,18.320,3,136,9
1784771948280,2026-07-23T01:59:08.280Z,-23.6053565,-46.8372058,821.476,18.506,18.440,3,136,9
1784771948332,2026-07-23T01:59:08.332Z,-23.6053476,-46.8372078,821.484,18.487,18.510,3,136,9
1784771948385,2026-07-23T01:59:08.385Z,-23.6053387,-46.8372101,821.521,18.485,18.490,3,140,10
1784771948437,2026-07-23T01:59:08.437Z,-23.6053296,-46.8372123,821.553,18.562,18.490,3,140,10
1784771948489,2026-07-23T01:59:08.489Z,-23.6053206,-46.8372144,821.606,18.602,18.560,3,140,10
1784771948541,2026-07-23T01:59:08.541Z,-23.6053116,-46.8372164,821.631,18.596,18.600,3,140,10
1784771948593,2026-07-23T01:59:08.593Z,-23.6053027,-46.8372184,821.677,18.592,18.600,3,140,10
1784771948645,2026-07-23T01:59:08.645Z,-23.6052938,-46.8372202,821.757,18.519,18.590,3,140,10
1784771948697,2026-07-23T01:59:08.697Z,-23.6052849,-46.8372219,821.789,18.521,18.520,3,140,10
