epoch,speed,totalGForce,gForceX,gForceY,steering_angle,sats,lat,lng
1785630915000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630915200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630915400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630915700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630915700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630915900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630916900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630917100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630917300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630917400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630917600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630917800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630918000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630918200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630918400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630918500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630918700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630918800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836183
1785630919900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630920900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921000,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
